"","V1","V2","V3","V4","V5"
"1",1,0,0,0,0
"2",2,0,0,0,0
"3",1,1,0,0,0
"4",1,1,1,0,0
"5",1,1,1,1,0
"6",1,1,1,2,0
"7",1,1,1,1,1
"8",1,1,1,1,2
"9",2,1,0,0,0
"10",2,2,0,0,0
"11",2,1,1,0,0
"12",2,1,2,0,0
"13",2,1,1,1,0
"14",2,1,1,2,0
"15",2,1,1,1,1
"16",2,1,1,1,2
"17",2,2,1,0,0
"18",2,2,2,0,0
"19",2,2,1,1,0
"20",2,2,1,2,0
"21",2,2,1,1,1
"22",2,2,1,1,2
"23",2,1,2,1,0
"24",2,1,2,2,0
"25",2,1,2,1,1
"26",2,1,2,1,2
"27",2,2,2,1,0
"28",2,2,2,2,0
"29",2,2,2,1,1
"30",2,2,2,1,2
"31",1,1,1,2,1
"32",1,1,1,2,2
"33",2,1,1,2,1
"34",2,1,1,2,2
"35",2,2,1,2,1
"36",2,2,1,2,2
"37",2,1,2,2,1
"38",2,1,2,2,2
"39",2,2,2,2,1
"40",2,2,2,2,2
